Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos_total
2019,1,Catamarca,32.19,131.64
2019,1,Chaco,32.64,139.47
2019,1,Chubut,43.0,188.71
2019,1,Córdoba,65.52,272.65999999999997
2019,1,Corrientes,35.13,150.55
2019,1,Entre Ríos,56.79,230.16
2019,1,Formosa,29.68,120.68
2019,1,Jujuy,46.41,180.62
2019,1,La Pampa,76.35,307.8
2019,1,La Rioja,50.18,193.96
2019,1,Mendoza,37.66,152.8
2019,1,Misiones,36.26,154.53
2019,1,Neuquén,58.88,245.46
2019,1,Río Negro,53.57,233.79000000000002
2019,1,Salta,40.1,176.82
2019,1,San Juan,31.83,137.34
2019,1,San Luis,67.34,309.28000000000003
2019,1,Santa Cruz,23.67,124.86000000000001
2019,1,Santa Fe,66.97,272.74
2019,1,Santiago Del Estero,37.52,188.53
2019,1,Tierra Del Fuego,93.38,364.34
2019,1,Tucumán,41.63,168.91
2018,4,Buenos Aires,64.6,254.45
2018,4,Capital Federal,108.27,429.49
2018,4,Catamarca,32.23,130.8
2018,4,Chaco,32.59,126.95
2018,4,Chubut,42.61,207.62
2018,4,Córdoba,65.09,256.12
2018,4,Corrientes,34.57,135.29
2018,4,Entre Ríos,54.37,202.47
2018,4,Formosa,29.74,110.14999999999999
2018,4,Jujuy,46.53,116.34
2018,4,La Pampa,73.49,288.03
2018,4,La Rioja,50.35,203.5
2018,4,Mendoza,37.76,149.79
2018,4,Misiones,34.45,129.14000000000001
2018,4,Neuquén,59.07,241.32
2018,4,Río Negro,51.86,202.37
2018,4,Salta,39.8,158.95
2018,4,San Juan,31.9,130.51
2018,4,San Luis,67.55,150.2
2018,4,Santa Cruz,23.69,123.29999999999998
2018,4,Santa Fe,65.59,253.85
2018,4,Santiago Del Estero,37.4,143.9
2018,4,Tierra Del Fuego,93.59,343.17
2018,4,Tucumán,41.76,166.13
2018,3,Buenos Aires,64.44,254.45
2018,3,Capital Federal,108.45,429.49
2018,3,Catamarca,32.92,130.8
2018,3,Chaco,32.28,126.95
2018,3,Chubut,56.39,207.62
2018,3,Córdoba,64.24,256.12
2018,3,Corrientes,34.25,135.29
2018,3,Entre Ríos,50.22,202.47
2018,3,Formosa,29.58,110.14999999999999
2018,3,Jujuy,23.26,116.34
2018,3,La Pampa,71.75,288.03
2018,3,La Rioja,50.73,203.5
2018,3,Mendoza,37.99,149.79
2018,3,Misiones,32.1,129.14000000000001
2018,3,Neuquén,60.49,241.32
2018,3,Río Negro,50.54,202.37
2018,3,Salta,39.43,158.95
2018,3,San Juan,33.05,130.51
2018,3,San Luis,52.35,150.2
2018,3,Santa Cruz,32.73,123.29999999999998
