Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Banda ancha fija (M),Dial up (M),Total (M)
2021,2,Córdoba,930818,62,930880,0.930818,6.2e-05,0.93088
2021,2,Corrientes,129498,3,129501,0.129498,3e-06,0.129501
2021,2,Entre Ríos,257617,15,257632,0.257617,1.5e-05,0.257632
2021,2,Formosa,51551,0,51551,0.051551,0.0,0.051551
2021,2,Jujuy,111848,0,111848,0.111848,0.0,0.111848
2021,2,La Pampa,97551,116,97667,0.097551,0.000116,0.097667
2021,2,La Rioja,81599,3,81602,0.081599,3e-06,0.081602
2021,2,Mendoza,229052,619,229671,0.229052,0.000619,0.229671
2021,2,Misiones,156176,0,156176,0.156176,0.0,0.156176
2021,2,Neuquén,137877,373,138250,0.137877,0.000373,0.13825
2021,2,Río Negro,143583,501,144084,0.143583,0.000501,0.144084
2021,2,Salta,191637,2,191639,0.191637,2e-06,0.191639
2021,2,San Juan,78677,256,78933,0.078677,0.000256,0.078933
2021,2,San Luis,122670,148,122818,0.12267,0.000148,0.122818
2021,2,Santa Cruz,48785,197,48982,0.048785,0.000197,0.048982
2021,2,Santa Fe,840449,151,840600,0.840449,0.000151,0.8406
2021,2,Santiago Del Estero,114089,1,114090,0.114089,1e-06,0.11409
2021,2,Tierra Del Fuego,35404,289,35693,0.035404,0.000289,0.035693
2021,2,Tucumán,233026,25,233051,0.233026,2.5e-05,0.233051
2021,1,Buenos Aires,4054936,5066,4060002,4.054936,0.005066,4.060002
2021,1,Capital Federal,1378283,1390,1379673,1.378283,0.00139,1.379673
2021,1,Catamarca,51967,1,51968,0.051967,1e-06,0.051968
2021,1,Chaco,139767,3,139770,0.139767,3e-06,0.13977
2021,1,Chubut,131515,825,132340,0.131515,0.000825,0.13234
2021,1,Córdoba,910826,55,910881,0.910826,5.5e-05,0.910881
2021,1,Corrientes,126622,3,126625,0.126622,3e-06,0.126625
2021,1,Entre Ríos,251950,13,251963,0.25195,1.3e-05,0.251963
2021,1,Formosa,50686,0,50686,0.050686,0.0,0.050686
2021,1,Jujuy,110456,0,110456,0.110456,0.0,0.110456
2021,1,La Pampa,96989,116,97105,0.096989,0.000116,0.097105
2021,1,La Rioja,52625,3,52628,0.052625,3e-06,0.052628
2021,1,Mendoza,218308,615,218923,0.218308,0.000615,0.218923
2021,1,Misiones,149387,0,149387,0.149387,0.0,0.149387
2021,1,Neuquén,132862,373,133235,0.132862,0.000373,0.133235
2021,1,Río Negro,140667,501,141168,0.140667,0.000501,0.141168
2021,1,Salta,187572,2,187574,0.187572,2e-06,0.187574
2021,1,San Juan,78011,256,78267,0.078011,0.000256,0.078267
2021,1,San Luis,119006,148,119154,0.119006,0.000148,0.119154
2021,1,Santa Cruz,45868,197,46065,0.045868,0.000197,0.046065
2021,1,Santa Fe,825990,137,826127,0.82599,0.000137,0.826127
2021,1,Santiago Del Estero,111640,1,111641,0.11164,1e-06,0.111641
2021,1,Tierra Del Fuego,40133,289,40422,0.040133,0.000289,0.040422
2021,1,Tucumán,231890,22,231912,0.23189,2.2e-05,0.231912
2020,4,Buenos Aires,4028195,5066,4033261,4.028195,0.005066,4.033261
2020,4,Capital Federal,1378140,1390,1379530,1.37814,0.00139,1.37953
2020,4,Catamarca,52395,1,52396,0.052395,1e-06,0.052396
2020,4,Chaco,139088,3,139091,0.139088,3e-06,0.139091
2020,4,Chubut,129749,825,130574,0.129749,0.000825,0.130574
2020,4,Córdoba,902646,55,902701,0.902646,5.5e-05,0.902701
2020,4,Corrientes,125656,3,125659,0.125656,3e-06,0.125659
2020,4,Entre Ríos,247368,13,247381,0.247368,1.3e-05,0.247381
2020,4,Formosa,50206,0,50206,0.050206,0.0,0.050206
2020,4,Jujuy,105851,0,105851,0.105851,0.0,0.105851
2020,4,La Pampa,96779,116,96895,0.096779,0.000116,0.096895
2020,4,La Rioja,52775,3,52778,0.052775,3e-06,0.052778
2020,4,Mendoza,214838,615,215453,0.214838,0.000615,0.215453
2020,4,Misiones,147161,0,147161,0.147161,0.0,0.147161
2020,4,Neuquén,132762,373,133135,0.132762,0.000373,0.133135
2020,4,Río Negro,140709,501,141210,0.140709,0.000501,0.14121
2020,4,Salta,187388,2,187390,0.187388,2e-06,0.18739
2020,4,San Juan,72340,256,72596,0.07234,0.000256,0.072596
2020,4,San Luis,119287,148,119435,0.119287,0.000148,0.119435
2020,4,Santa Cruz,40477,197,40674,0.040477,0.000197,0.040674
2020,4,Santa Fe,820676,137,820813,0.820676,0.000137,0.820813
2020,4,Santiago Del Estero,106668,1,106669,0.106668,1e-06,0.106669
2020,4,Tierra Del Fuego,39325,289,39614,0.039325,0.000289,0.039614
2020,4,Tucumán,231067,22,231089,0.231067,2.2e-05,0.231089
2020,3,Buenos Aires,3932211,5066,3937277,3.932211,0.005066,3.937277
